ID,Machi,Community,Sex.1male,adol.less20,mat.20to50,old.over50,School.mest,ExEmpMest,ExComMest,Question,Response
294,0,A,1,0,1,0,1,1,1,12,0
294,0,A,1,0,1,0,1,1,1,17,0
294,0,A,1,0,1,0,1,1,1,21,0
294,0,A,1,0,1,0,1,1,1,22,1
294,0,A,1,0,1,0,1,1,1,29,0
294,0,A,1,0,1,0,1,1,1,30,1
274,0,A,1,0,1,0,1,1,1,1,0
274,0,A,1,0,1,0,1,1,1,6,1
274,0,A,1,0,1,0,1,1,1,11,1
274,0,A,1,0,1,0,1,1,1,12,0
274,0,A,1,0,1,0,1,1,1,17,1
274,0,A,1,0,1,0,1,1,1,19,1
274,0,A,1,0,1,0,1,1,1,20,0
274,0,A,1,0,1,0,1,1,1,21,1
274,0,A,1,0,1,0,1,1,1,22,1
274,0,A,1,0,1,0,1,1,1,24,0
274,0,A,1,0,1,0,1,1,1,29,1
274,0,A,1,0,1,0,1,1,1,30,1
275,0,A,1,0,1,0,1,1,1,1,1
275,0,A,1,0,1,0,1,1,1,5,1
275,0,A,1,0,1,0,1,1,1,6,0
275,0,A,1,0,1,0,1,1,1,10,0
275,0,A,1,0,1,0,1,1,1,11,0
275,0,A,1,0,1,0,1,1,1,12,0
275,0,A,1,0,1,0,1,1,1,17,0
275,0,A,1,0,1,0,1,1,1,19,1
275,0,A,1,0,1,0,1,1,1,20,0
275,0,A,1,0,1,0,1,1,1,21,1
275,0,A,1,0,1,0,1,1,1,22,1
275,0,A,1,0,1,0,1,1,1,24,0
275,0,A,1,0,1,0,1,1,1,29,1
275,0,A,1,0,1,0,1,1,1,30,1
276,0,A,0,0,1,0,1,1,1,1,1
276,0,A,0,0,1,0,1,1,1,5,1
276,0,A,0,0,1,0,1,1,1,6,1
276,0,A,0,0,1,0,1,1,1,10,1
276,0,A,0,0,1,0,1,1,1,11,1
276,0,A,0,0,1,0,1,1,1,12,0
276,0,A,0,0,1,0,1,1,1,17,1
276,0,A,0,0,1,0,1,1,1,19,1
276,0,A,0,0,1,0,1,1,1,20,0
276,0,A,0,0,1,0,1,1,1,22,0
276,0,A,0,0,1,0,1,1,1,24,0
276,0,A,0,0,1,0,1,1,1,29,1
276,0,A,0,0,1,0,1,1,1,30,1
277,0,A,1,0,0,1,1,1,1,1,0
277,0,A,1,0,0,1,1,1,1,5,1
277,0,A,1,0,0,1,1,1,1,6,1
277,0,A,1,0,0,1,1,1,1,10,0
277,0,A,1,0,0,1,1,1,1,11,0
277,0,A,1,0,0,1,1,1,1,12,0
277,0,A,1,0,0,1,1,1,1,17,1
277,0,A,1,0,0,1,1,1,1,21,1
277,0,A,1,0,0,1,1,1,1,22,1
277,0,A,1,0,0,1,1,1,1,24,0
277,0,A,1,0,0,1,1,1,1,29,1
277,0,A,1,0,0,1,1,1,1,30,1
298,0,A,0,0,1,0,1,1,1,1,1
298,0,A,0,0,1,0,1,1,1,5,0
298,0,A,0,0,1,0,1,1,1,6,1
298,0,A,0,0,1,0,1,1,1,10,0
298,0,A,0,0,1,0,1,1,1,11,0
298,0,A,0,0,1,0,1,1,1,12,1
298,0,A,0,0,1,0,1,1,1,17,1
298,0,A,0,0,1,0,1,1,1,19,1
298,0,A,0,0,1,0,1,1,1,20,0
298,0,A,0,0,1,0,1,1,1,21,1
298,0,A,0,0,1,0,1,1,1,22,0
298,0,A,0,0,1,0,1,1,1,24,0
298,0,A,0,0,1,0,1,1,1,29,1
298,0,A,0,0,1,0,1,1,1,30,1
299,0,A,0,0,1,0,1,1,1,1,1
299,0,A,0,0,1,0,1,1,1,5,0
299,0,A,0,0,1,0,1,1,1,6,0
299,0,A,0,0,1,0,1,1,1,10,0
299,0,A,0,0,1,0,1,1,1,11,0
299,0,A,0,0,1,0,1,1,1,12,0
299,0,A,0,0,1,0,1,1,1,17,1
299,0,A,0,0,1,0,1,1,1,19,1
299,0,A,0,0,1,0,1,1,1,20,0
299,0,A,0,0,1,0,1,1,1,21,0
299,0,A,0,0,1,0,1,1,1,22,1
299,0,A,0,0,1,0,1,1,1,24,0
299,0,A,0,0,1,0,1,1,1,29,1
299,0,A,0,0,1,0,1,1,1,30,1
278,0,A,0,0,1,0,1,1,1,5,1
278,0,A,0,0,1,0,1,1,1,6,1
278,0,A,0,0,1,0,1,1,1,10,1
278,0,A,0,0,1,0,1,1,1,12,0
278,0,A,0,0,1,0,1,1,1,17,1
278,0,A,0,0,1,0,1,1,1,19,0
278,0,A,0,0,1,0,1,1,1,20,0
278,0,A,0,0,1,0,1,1,1,21,1
278,0,A,0,0,1,0,1,1,1,22,1
278,0,A,0,0,1,0,1,1,1,24,0
278,0,A,0,0,1,0,1,1,1,29,1
278,0,A,0,0,1,0,1,1,1,30,1
300,0,A,0,1,0,0,1,1,1,1,0
300,0,A,0,1,0,0,1,1,1,5,1
300,0,A,0,1,0,0,1,1,1,6,0
300,0,A,0,1,0,0,1,1,1,10,0
300,0,A,0,1,0,0,1,1,1,11,0
300,0,A,0,1,0,0,1,1,1,12,0
300,0,A,0,1,0,0,1,1,1,17,0
300,0,A,0,1,0,0,1,1,1,21,1
300,0,A,0,1,0,0,1,1,1,22,1
300,0,A,0,1,0,0,1,1,1,24,0
300,0,A,0,1,0,0,1,1,1,29,1
300,0,A,0,1,0,0,1,1,1,30,1
279,0,A,0,0,0,1,1,1,1,1,1
279,0,A,0,0,0,1,1,1,1,5,1
279,0,A,0,0,0,1,1,1,1,6,1
279,0,A,0,0,0,1,1,1,1,10,1
279,0,A,0,0,0,1,1,1,1,11,0
279,0,A,0,0,0,1,1,1,1,12,0
279,0,A,0,0,0,1,1,1,1,17,1
279,0,A,0,0,0,1,1,1,1,19,0
279,0,A,0,0,0,1,1,1,1,20,0
279,0,A,0,0,0,1,1,1,1,21,0
279,0,A,0,0,0,1,1,1,1,22,1
279,0,A,0,0,0,1,1,1,1,24,0
279,0,A,0,0,0,1,1,1,1,29,1
279,0,A,0,0,0,1,1,1,1,30,1
280,0,A,1,0,0,1,1,1,1,1,1
280,0,A,1,0,0,1,1,1,1,5,1
280,0,A,1,0,0,1,1,1,1,6,0
280,0,A,1,0,0,1,1,1,1,11,0
280,0,A,1,0,0,1,1,1,1,12,0
280,0,A,1,0,0,1,1,1,1,17,1
280,0,A,1,0,0,1,1,1,1,19,1
280,0,A,1,0,0,1,1,1,1,20,0
280,0,A,1,0,0,1,1,1,1,21,0
280,0,A,1,0,0,1,1,1,1,22,1
280,0,A,1,0,0,1,1,1,1,24,0
280,0,A,1,0,0,1,1,1,1,29,1
280,0,A,1,0,0,1,1,1,1,30,1
301,0,A,0,0,1,0,1,1,1,1,0
301,0,A,0,0,1,0,1,1,1,5,0
301,0,A,0,0,1,0,1,1,1,6,1
301,0,A,0,0,1,0,1,1,1,10,0
301,0,A,0,0,1,0,1,1,1,11,0
301,0,A,0,0,1,0,1,1,1,12,0
301,0,A,0,0,1,0,1,1,1,17,1
301,0,A,0,0,1,0,1,1,1,19,1
301,0,A,0,0,1,0,1,1,1,20,0
301,0,A,0,0,1,0,1,1,1,21,0
301,0,A,0,0,1,0,1,1,1,22,1
301,0,A,0,0,1,0,1,1,1,24,0
301,0,A,0,0,1,0,1,1,1,29,1
301,0,A,0,0,1,0,1,1,1,30,1
287,0,A,1,0,1,0,1,1,1,1,1
287,0,A,1,0,1,0,1,1,1,5,0
287,0,A,1,0,1,0,1,1,1,11,0
287,0,A,1,0,1,0,1,1,1,12,0
287,0,A,1,0,1,0,1,1,1,17,0
287,0,A,1,0,1,0,1,1,1,21,1
287,0,A,1,0,1,0,1,1,1,22,0
287,0,A,1,0,1,0,1,1,1,24,0
287,0,A,1,0,1,0,1,1,1,29,1
287,0,A,1,0,1,0,1,1,1,30,1
281,0,A,1,0,0,1,1,1,1,1,0
281,0,A,1,0,0,1,1,1,1,5,1
281,0,A,1,0,0,1,1,1,1,6,1
281,0,A,1,0,0,1,1,1,1,10,0
281,0,A,1,0,0,1,1,1,1,11,1
281,0,A,1,0,0,1,1,1,1,12,0
281,0,A,1,0,0,1,1,1,1,17,1
281,0,A,1,0,0,1,1,1,1,21,1
281,0,A,1,0,0,1,1,1,1,22,0
281,0,A,1,0,0,1,1,1,1,30,1
302,0,A,1,0,1,0,1,1,1,1,1
302,0,A,1,0,1,0,1,1,1,6,1
302,0,A,1,0,1,0,1,1,1,10,0
302,0,A,1,0,1,0,1,1,1,11,0
302,0,A,1,0,1,0,1,1,1,12,0
302,0,A,1,0,1,0,1,1,1,17,0
302,0,A,1,0,1,0,1,1,1,21,0
302,0,A,1,0,1,0,1,1,1,22,0
302,0,A,1,0,1,0,1,1,1,29,1
302,0,A,1,0,1,0,1,1,1,30,1
303,0,A,0,0,1,0,1,1,1,1,1
303,0,A,0,0,1,0,1,1,1,5,1
303,0,A,0,0,1,0,1,1,1,6,1
303,0,A,0,0,1,0,1,1,1,10,0
303,0,A,0,0,1,0,1,1,1,11,1
303,0,A,0,0,1,0,1,1,1,12,1
303,0,A,0,0,1,0,1,1,1,17,0
303,0,A,0,0,1,0,1,1,1,19,1
303,0,A,0,0,1,0,1,1,1,20,1
303,0,A,0,0,1,0,1,1,1,21,1
303,0,A,0,0,1,0,1,1,1,22,0
303,0,A,0,0,1,0,1,1,1,24,0
303,0,A,0,0,1,0,1,1,1,29,0
303,0,A,0,0,1,0,1,1,1,30,1
282,0,A,0,0,1,0,1,1,1,5,0
282,0,A,0,0,1,0,1,1,1,6,1
282,0,A,0,0,1,0,1,1,1,10,0
282,0,A,0,0,1,0,1,1,1,11,0
282,0,A,0,0,1,0,1,1,1,12,0
282,0,A,0,0,1,0,1,1,1,17,1
282,0,A,0,0,1,0,1,1,1,19,1
282,0,A,0,0,1,0,1,1,1,20,0
282,0,A,0,0,1,0,1,1,1,21,0
282,0,A,0,0,1,0,1,1,1,22,0
282,0,A,0,0,1,0,1,1,1,24,0
282,0,A,0,0,1,0,1,1,1,29,1
282,0,A,0,0,1,0,1,1,1,30,1
195,0,B,0,0,1,0,1,1,1,1,0
195,0,B,0,0,1,0,1,1,1,5,1
195,0,B,0,0,1,0,1,1,1,6,1
195,0,B,0,0,1,0,1,1,1,10,1
195,0,B,0,0,1,0,1,1,1,11,1
195,0,B,0,0,1,0,1,1,1,12,0
195,0,B,0,0,1,0,1,1,1,17,1
195,0,B,0,0,1,0,1,1,1,19,1
195,0,B,0,0,1,0,1,1,1,21,1
195,0,B,0,0,1,0,1,1,1,22,0
195,0,B,0,0,1,0,1,1,1,29,0
195,0,B,0,0,1,0,1,1,1,30,1
182,0,B,1,0,0,1,1,1,1,1,1
182,0,B,1,0,0,1,1,1,1,5,1
182,0,B,1,0,0,1,1,1,1,6,1
182,0,B,1,0,0,1,1,1,1,10,1
182,0,B,1,0,0,1,1,1,1,11,0
182,0,B,1,0,0,1,1,1,1,12,1
182,0,B,1,0,0,1,1,1,1,17,1
182,0,B,1,0,0,1,1,1,1,19,1
182,0,B,1,0,0,1,1,1,1,21,1
182,0,B,1,0,0,1,1,1,1,22,1
182,0,B,1,0,0,1,1,1,1,29,1
182,0,B,1,0,0,1,1,1,1,30,1
247,0,B,1,0,0,1,1,1,1,1,0
247,0,B,1,0,0,1,1,1,1,5,1
247,0,B,1,0,0,1,1,1,1,6,0
247,0,B,1,0,0,1,1,1,1,10,0
247,0,B,1,0,0,1,1,1,1,11,1
247,0,B,1,0,0,1,1,1,1,12,0
247,0,B,1,0,0,1,1,1,1,17,0
247,0,B,1,0,0,1,1,1,1,19,1
247,0,B,1,0,0,1,1,1,1,21,1
247,0,B,1,0,0,1,1,1,1,22,1
247,0,B,1,0,0,1,1,1,1,29,1
247,0,B,1,0,0,1,1,1,1,30,1
228,0,B,0,0,0,1,1,1,1,1,0
228,0,B,0,0,0,1,1,1,1,5,1
228,0,B,0,0,0,1,1,1,1,6,1
228,0,B,0,0,0,1,1,1,1,10,1
228,0,B,0,0,0,1,1,1,1,11,0
228,0,B,0,0,0,1,1,1,1,12,0
228,0,B,0,0,0,1,1,1,1,17,1
228,0,B,0,0,0,1,1,1,1,21,1
228,0,B,0,0,0,1,1,1,1,22,1
228,0,B,0,0,0,1,1,1,1,29,1
228,0,B,0,0,0,1,1,1,1,30,1
248,0,B,1,0,1,0,1,1,1,1,0
248,0,B,1,0,1,0,1,1,1,5,1
248,0,B,1,0,1,0,1,1,1,6,1
248,0,B,1,0,1,0,1,1,1,10,0
248,0,B,1,0,1,0,1,1,1,11,0
248,0,B,1,0,1,0,1,1,1,12,0
248,0,B,1,0,1,0,1,1,1,17,1
248,0,B,1,0,1,0,1,1,1,19,1
248,0,B,1,0,1,0,1,1,1,21,0
248,0,B,1,0,1,0,1,1,1,22,0
248,0,B,1,0,1,0,1,1,1,29,1
248,0,B,1,0,1,0,1,1,1,30,1
205,0,B,0,0,1,0,1,1,1,1,0
205,0,B,0,0,1,0,1,1,1,5,1
205,0,B,0,0,1,0,1,1,1,6,1
205,0,B,0,0,1,0,1,1,1,10,1
205,0,B,0,0,1,0,1,1,1,11,0
205,0,B,0,0,1,0,1,1,1,12,0
205,0,B,0,0,1,0,1,1,1,17,1
